student_id,first_high_school_attended,school_district,gender,race_ethnicity,percent_absent,gpa,act_reading_score,act_math_score
1622,Jackson,Jackson,Male,Multiple/Native American,10.18829536,1.599410057,15,15
1877,Jackson,Jackson,Male,White,13.08201885,1.804999948,19,15
1941,Jackson,Jackson,Male,White,5.259312153,3.049999952,21,23
3442,Jackson,Jackson,Female,White,5.165032864,3.416364908,18,17
4623,Jackson,Jackson,Male,White,16.34100723,0.944440007,15,16
4913,Jackson,Jackson,Male,White,24.96119499,1.67206502,13,16
5754,Jackson,Jackson,Male,White,2.405844212,2.16683507,18,14
6293,Jackson,Jackson,Female,White,1.659010649,1.840000033,,
7010,Jackson,Jackson,Male,White,5.076335907,3.332499981,20,18
8343,Jackson,Jackson,Male,White,2.934328318,3.506094933,,
9150,Jackson,Jackson,Male,White,6.315662861,1.968499899,,
10302,Jackson,Jackson,Female,White,5.800859451,1.928570032,,
10312,Jackson,Jackson,Male,White,15.25736809,2.875,25,21
10969,Jackson,Jackson,Female,White,10.25498581,3.050499916,19,16
11389,Jackson,Jackson,Female,White,14.40434742,3.072486639,12,17
12328,Jackson,Jackson,Male,White,11.84370327,2.482966661,19,21
12439,Jackson,Jackson,Male,White,3.021582842,2.832999945,17,16
13034,Jackson,Jackson,Male,African-American,14.42625618,1.667584896,11,23
15276,Jackson,Jackson,Male,White,34.90074539,,27,19
16016,Jackson,Jackson,Male,White,28.89770317,3,25,21
18104,Jackson,Jackson,Female,White,2.610447645,3.940000057,19,21
18406,Jackson,Jackson,Male,White,1.24179101,1.723619938,,
19541,Jackson,Jackson,Male,White,0,2.674999952,14,17
19783,Jackson,Jackson,Female,African-American,0.887769818,2.820420027,23,23
20387,Jackson,Jackson,Male,White,10.18829536,1.850000024,15,13
20721,Jackson,Jackson,Female,White,3.639871359,2.170000076,,
20732,Jackson,Jackson,Female,White,22.9695816,2.220403194,,
21626,Jackson,Jackson,Male,White,2.405844212,1.688999891,14,15
22811,Jackson,Jackson,Female,White,2.445396185,2.966249943,17,15
23625,Jackson,Jackson,Female,White,12.25358105,2.398175001,,
24818,Jackson,Jackson,Male,White,5.365853786,1.968999982,15,15
25291,Jackson,Jackson,Female,White,3.393939495,2.868999958,20,26
27722,Jackson,Jackson,Female,White,24.20516586,1.590884924,14,15
28717,Jackson,Jackson,Male,White,10.2935257,1.264999986,20,16
28803,Jackson,Jackson,Male,White,3.257553816,2.755740166,20,18
29298,Jackson,Jackson,Female,White,1.299426913,3.90500021,32,19
29859,Jackson,Jackson,Female,White,19.56435585,,,
29955,Jackson,Jackson,Female,White,17.2619381,,,
30406,Jackson,Jackson,Female,White,2.300859451,3.38925004,14,17
31281,Jackson,Jackson,Male,White,0,,,
31654,Jackson,Jackson,Female,African-American,0,0.333220005,13,15
32292,Jackson,Jackson,Male,White,3.315638542,2.186000109,,
32782,Jackson,Jackson,Male,White,24.25238991,1.800999999,17,16
33260,Jackson,Jackson,Male,White,4.518643856,2.353499889,21,17
34803,Jackson,Jackson,Female,White,4.951359272,1.974499941,14,21
35019,Jackson,Jackson,Female,White,12.26268673,1.928654909,14,14
35026,Jackson,Jackson,Female,White,2.276504278,3.778170109,20,25
35108,Jackson,Jackson,Male,White,3.651162863,1.17900002,,
36215,Jackson,Jackson,Male,White,21.16090012,0.142859995,,
36828,Jackson,Jackson,Male,White,1.24179101,2.915193319,14,15
37467,Jackson,Jackson,Male,White,10.38752842,2.543519974,14,17
39943,Jackson,Jackson,Female,White,14.43877602,2.301000118,14,16
41690,Jackson,Jackson,Female,White,17.04985237,1.990499973,,
42434,Jackson,Jackson,Female,White,1.659010649,2.358715057,19,16
42505,Jackson,Jackson,Male,White,2.405844212,2.133749962,14,16
42586,Jackson,Jackson,Female,White,3.368263483,3.119999886,25,19
43454,Jackson,Jackson,Male,White,1.723988533,3.016499996,20,18
44804,Jackson,Jackson,Female,White,6.071022511,3.15899992,16,16
44807,Jackson,Jackson,Male,White,0,,,
45343,Jackson,Jackson,Female,White,10.0215826,2.79766655,,
45487,Jackson,Jackson,Female,White,4.65759325,3.706049919,20,23
46761,Jackson,Jackson,Female,White,12.98814774,2.354949951,27,18
47836,Jackson,Jackson,Male,White,19.85904884,1.333620071,,
48928,Jackson,Jackson,Male,African-American,23.50808334,2.734999895,,
49349,Jackson,Jackson,Male,White,3.695035458,2.486200094,21,20
50331,Jackson,Jackson,Male,White,0.856725156,1.045449972,,
50796,Jackson,Jackson,Male,White,8.907110214,2.950139999,17,17
51411,Jackson,Jackson,Male,White,3.944126129,2.96675992,21,18
52081,Jackson,Jackson,Female,White,5.246268749,2.31400013,,
52165,Jackson,Jackson,Female,White,6.554636002,2.304666758,21,15
54724,Jackson,Jackson,Female,White,3.107806683,1.785709977,11,15
56522,Jackson,Jackson,Female,White,23.24516106,1.720000029,17,18
56766,Jackson,Jackson,Female,White,7.489208698,2.752500057,22,19
58770,Jackson,Jackson,Female,White,2.980597019,2.49000001,,
60325,Jackson,Jackson,Male,White,5.573066235,3.258000135,15,15
60514,Jackson,Jackson,Female,White,9.824536324,3.267855167,19,19
61513,Jackson,Jackson,Female,White,0.969004929,3.024499893,20,18
62001,Jackson,Jackson,Male,White,5.159712315,2.00150013,15,21
62337,Jackson,Jackson,Female,White,4.972464085,3.461999893,15,27
62978,Jackson,Jackson,Male,White,7.659794331,1.5,,
64182,Jackson,Jackson,Male,White,0.856725156,1.421900034,20,15
64443,Jackson,Jackson,Female,White,5.654727936,2.127493382,,
64483,Jackson,Jackson,Female,White,5.816618919,3.119999886,25,23
64637,Jackson,Jackson,Female,White,10.61151123,2.796500206,16,17
65161,Jackson,Jackson,Female,White,11.25501442,3.888599873,23,25
65365,Jackson,Jackson,Female,White,8.387050629,2.149739981,18,15
65758,Jackson,Jackson,Female,White,8.944365501,2.799999952,24,18
66887,Jackson,Jackson,Male,White,5.25,1.959227443,18,15
67568,Jackson,Jackson,Male,White,6.627338409,2.146640062,15,14
68106,Jackson,Jackson,Male,Asian/Pacific Islander,8.189728737,2.869999886,21,22
69075,Jackson,Jackson,Male,White,3.432664633,3.247539997,,
69189,Jackson,Jackson,Male,White,5.922747135,3.675835133,15,17
69789,Jackson,Jackson,Male,White,4.958209038,1.610499978,13,17
71425,Jackson,Jackson,Female,White,7.786046505,1.767513394,17,15
72541,Jackson,Jackson,Male,White,0,,,
73249,Jackson,Jackson,Female,White,10.16740799,2.896500111,25,18
73570,Jackson,Jackson,Female,White,6.955882549,2.755000114,,
73656,Jackson,Jackson,Male,White,21.87928391,1.590990067,15,16
77183,Jackson,Jackson,Female,White,11.11111069,2.246582508,20,15
79426,Jackson,Jackson,Male,White,4.359999657,2.508359909,14,15
80367,Jackson,Jackson,Female,White,20.44092178,2.396785021,13,16
80832,Jackson,Jackson,Male,White,23.24516106,2.595999956,17,14
81141,Jackson,Jackson,Male,White,2.605113745,3.424000025,27,21
81469,Jackson,Jackson,Male,White,5.125179768,2.887500048,19,24
81561,Jackson,Jackson,Male,White,5.479532242,3.31400013,24,23
81619,Jackson,Jackson,Male,,2.42680788,2.607140064,,
82528,Jackson,Jackson,Female,White,2.101302624,4,32,33
85454,Jackson,Jackson,Female,White,7.271894932,2.704999924,25,18
87772,Jackson,Jackson,Female,White,9.754022598,2.838999987,14,15
88191,Jackson,Jackson,Male,White,4.056603909,1.787499905,11,15
88452,Jackson,Jackson,Female,White,1.723577142,2.829999924,19,14
88853,Jackson,Jackson,Female,White,26,3.575349808,27,27
88908,Jackson,Jackson,Male,White,6.980805874,1.5072999,17,14
89365,Jackson,Jackson,Male,White,3.423295498,3.063865185,27,23
90978,Jackson,Jackson,Male,White,8.420144081,0.888999999,14,16
91514,Jackson,Jackson,Male,White,16.1223011,1.392019987,,
91781,Jackson,Jackson,Male,White,7.874999523,2.245500088,27,19
91790,Jackson,Jackson,Male,Hispanic,5.671942234,2.238500118,15,15
93171,Jackson,Jackson,Male,White,2.863247871,1.562999964,,
95036,Jackson,Jackson,Male,White,5.263636112,3.751689911,13,19
95206,Jackson,Jackson,Male,White,1.692537308,0.922999978,,
95322,Jackson,Jackson,Female,White,12.98814774,2.078215122,15,15
96042,Jackson,Jackson,Male,,6.281626225,2.150000095,,
97867,Jackson,Jackson,Male,White,6.123209,3.75,27,26
97893,Jackson,Jackson,Male,White,0.541547298,1.840499997,22,18
98683,Jackson,Jackson,Female,White,27.23748207,2.804250002,16,15
99187,Jackson,Jackson,Male,African-American,4.124641895,1.506500006,12,15
99595,Jackson,Jackson,Male,White,8.714754105,2.181604862,15,19
100087,Jackson,Jackson,Female,White,4.13649416,3.049999952,15,17
100753,Jackson,Jackson,Female,White,5.469827652,3.631024837,17,18
101151,Jackson,Jackson,Male,White,2.42680788,2.570000172,18,15
101976,Jackson,Jackson,Female,White,24.12238693,4,28,23
102359,Jackson,Jackson,Female,White,12.48364162,3.017499924,17,19
104552,Jackson,Jackson,Female,White,2.980597019,1.999050021,20,15
106065,Jackson,Jackson,Male,White,28.89770317,1.404999971,25,21
106350,Jackson,Jackson,Female,African-American,7.786046505,2.412000179,,
108235,Jackson,Jackson,Male,White,2.42680788,1.118499994,17,14
108569,Jackson,Jackson,Male,White,5.230088234,1.649060011,13,15
109409,Jackson,Jackson,Male,White,7.569288731,1.654999971,26,24
110822,Jackson,Jackson,Female,White,6.894029617,2.537214994,19,15
111186,Jackson,Jackson,Female,White,13.5555563,1.883329988,16,15
1575,Wallaby,Wallaby,Male,White,25.39473534,1.766257524,,
4332,Wallaby,Wallaby,Male,White,5.238304138,2.226999998,12,16
5574,Wallaby,Wallaby,Male,White,11.91465187,0.713999987,18,20
6864,Wallaby,Wallaby,Female,White,2.584795475,3.809999943,27,23
7076,Wallaby,Wallaby,Male,White,17.74244499,2.0625,14,12
7545,Wallaby,Wallaby,Male,White,6.283211708,1.992500067,14,16
8517,Wallaby,Wallaby,Male,White,3.052554607,2.790600061,25,17
9570,Wallaby,Wallaby,Male,White,13.98113251,2.954999924,,
11200,Wallaby,Wallaby,Female,White,8.077485085,2.044499874,14,15
13031,Wallaby,Wallaby,Female,African-American,7.004392624,1.816285014,14,16
15830,Wallaby,Wallaby,Female,White,11.49689484,1.501850009,,
19277,Wallaby,Wallaby,Male,Hispanic,14.79287243,1.070000052,,
20904,Wallaby,Wallaby,Male,White,4.93917942,3.470999956,22,21
23841,Wallaby,Wallaby,Female,African-American,0,2.364000082,11,13
24240,Wallaby,Wallaby,Male,White,2.225531816,,,
25225,Wallaby,Wallaby,Male,White,2.739006996,1.899999976,11,15
27607,Wallaby,Wallaby,Female,White,11.87378597,2.656150103,19,18
28569,Wallaby,Wallaby,Female,White,0.817919135,3.454634905,28,23
31900,Wallaby,Wallaby,Male,White,3.172119617,1.641000032,,
32059,Wallaby,Wallaby,Female,White,8.040267944,3.667000055,,
32629,Wallaby,Wallaby,Male,White,26.30199432,1.839999914,15,18
32949,Wallaby,Wallaby,Female,White,7.821897984,2.971990108,16,17
33556,Wallaby,Wallaby,Male,African-American,15.04761982,1.484499931,,
34442,Wallaby,Wallaby,Female,White,17.74244499,1.5,13,17
35933,Wallaby,Wallaby,Female,White,11.26293087,2.935250044,15,14
39816,Wallaby,Wallaby,Female,African-American,3.171052456,3.274240017,18,16
40067,Wallaby,Wallaby,Male,White,4.486251831,1.453634977,14,13
41925,Wallaby,Wallaby,Male,White,5.796116829,2.294650078,15,16
45968,Wallaby,Wallaby,Male,White,2.162518263,3.232500076,23,19
46476,Wallaby,Wallaby,Male,White,10.09006119,2.171750069,14,15
49462,Wallaby,Wallaby,Male,White,6.168375015,2.150000095,24,23
50004,Wallaby,Wallaby,Female,White,19,2.399499893,14,12
50602,Wallaby,Wallaby,Female,White,10.69716072,2.721082449,15,16
51155,Wallaby,Wallaby,Male,White,5.282485962,2.17092514,11,12
51623,Wallaby,Wallaby,Female,White,30.12757683,2.38806653,,
53420,Wallaby,Wallaby,Female,White,14.50493622,1.187999964,11,16
54282,Wallaby,Wallaby,Male,White,16.20730019,2.330500126,15,15
55112,Wallaby,Wallaby,Male,White,5.958884239,2.632999897,36,23
57952,Wallaby,Wallaby,Male,White,3.21875,2.569499969,19,17
58323,Wallaby,Wallaby,Male,White,2.895196438,2.136049986,13,25
60364,Wallaby,Wallaby,Female,White,18.37249374,3.077499866,19,18
60427,Wallaby,Wallaby,Male,White,4.246459007,2.462000132,21,16
61239,Wallaby,Wallaby,Male,White,2.234948635,2.895999908,24,21
65647,Wallaby,Wallaby,Female,White,5.154285908,3.799000025,14,15
70448,Wallaby,Wallaby,Female,White,8.466276169,2.558815002,11,14
71907,Wallaby,Wallaby,Male,African-American,4.902255535,2.348500013,14,15
75244,Wallaby,Wallaby,Male,White,8.202602386,1.904999971,11,11
75485,Wallaby,Wallaby,Male,White,3.891654491,3.025499821,14,14
77048,Wallaby,Wallaby,Male,White,9.607298851,3.508339882,21,29
78113,Wallaby,Wallaby,Female,White,6.394508839,2.240190029,12,16
81790,Wallaby,Wallaby,Male,White,10.60179615,1.571035028,,
83226,Wallaby,Wallaby,Male,White,16.98113251,3.333300114,,
85125,Wallaby,Wallaby,Female,White,2.255072355,3.853499889,20,16
85677,Wallaby,Wallaby,Male,White,11.1293602,0.441000015,,
86131,Wallaby,Wallaby,Female,African-American,9.408555031,3.57586503,16,18
86720,Wallaby,Wallaby,Male,White,24.4272995,2.06099987,18,16
89965,Wallaby,Wallaby,Female,African-American,6.957236767,2.516499996,12,15
90611,Wallaby,Wallaby,Female,White,4.18830204,3.051000118,31,22
91369,Wallaby,Wallaby,Male,White,4.512481689,3.411200047,18,19
91525,Wallaby,Wallaby,Male,White,4.12554121,3.166779995,14,16
92799,Wallaby,Wallaby,Female,White,13.15565395,2.5,15,13
94035,Wallaby,Wallaby,Male,White,8.040267944,1.79399991,,
94722,Wallaby,Wallaby,Female,White,11.84525585,2.5,17,15
95446,Wallaby,Wallaby,Female,White,0.243795618,3.404999971,23,20
95821,Wallaby,Wallaby,Female,White,6.417518139,3.097165108,14,16
100887,Wallaby,Wallaby,Male,White,6.829445839,2.597500086,24,18
102704,Wallaby,Wallaby,Female,White,4.759887218,3.477039814,19,17
104243,Wallaby,Wallaby,Female,White,3.304409504,0.333330005,,
105286,Wallaby,Wallaby,Female,White,2.246753454,3.754920006,30,25
108599,Wallaby,Wallaby,Male,African-American,39.24242401,1.90199995,25,18
108669,Wallaby,Wallaby,Male,White,8.659543991,2.84980011,15,16
109047,Wallaby,Wallaby,Male,Hispanic,9.282884598,2.349999905,,
111245,Wallaby,Wallaby,Male,African-American,9.733711243,3.303999901,,
534,Kendrick,Goodacre,Female,African-American,15.63095284,1.302999973,14,15
614,Kendrick,Goodacre,Male,African-American,2.592753649,,,
668,Kendrick,Goodacre,Female,White,0.763271213,3.496000051,19,18
2022,Kendrick,Goodacre,Male,White,6.757879257,2.789000034,26,24
3212,Kendrick,Goodacre,Male,White,14.6979332,2.188422441,19,24
3648,Kendrick,Goodacre,Male,White,15.30560875,1.631507516,,
3728,Kendrick,Goodacre,Female,White,1.857553959,2.399775028,14,16
4707,Kendrick,Goodacre,Female,White,3.998561382,3.239069939,27,22
5282,Kendrick,Goodacre,Female,African-American,2.056818247,3.099889994,27,18
5806,Kendrick,Goodacre,Female,Multiple/Native American,4.398255825,2.875,12,14
7117,Kendrick,Goodacre,Female,White,2.568768024,3.405499935,27,26
7750,Kendrick,Goodacre,Male,African-American,23.01190567,,,
8475,Kendrick,Goodacre,Male,White,20.67291451,1.580000043,,
8906,Kendrick,Goodacre,Female,White,15.63095284,1.810499907,14,16
9077,Kendrick,Goodacre,Female,White,4.012912273,3.664000034,27,26
9207,Kendrick,Goodacre,Male,White,13.95202351,1.608500004,18,21
9561,Kendrick,Goodacre,Female,White,13.77720165,,,
9807,Kendrick,Goodacre,Female,Hispanic,5.935530186,3.588745117,18,16
10720,Kendrick,Goodacre,Female,White,15.590909,1.575999975,,
11017,Kendrick,Goodacre,Male,White,10.34527206,2.889999866,,
11243,Kendrick,Goodacre,Female,White,7.443328857,3.655070066,28,21
11269,Kendrick,Goodacre,Male,White,7.80719471,1.221854925,,
11737,Kendrick,Goodacre,Male,African-American,5.038682461,3.293570042,19,20
11771,Kendrick,Goodacre,Female,White,6.954545498,1.724053383,,
12504,Kendrick,Goodacre,Male,White,14.83333302,2.539814949,19,15
12506,Kendrick,Goodacre,Male,White,0.934097409,3.55485487,27,18
13665,Kendrick,Goodacre,Male,White,5.504297733,2.398664951,11,17
14239,Kendrick,Goodacre,Male,White,6.195402145,2.492126703,25,19
14940,Kendrick,Goodacre,Male,White,2.268292665,3.983230114,22,21
15244,Kendrick,Goodacre,Female,White,10.2806263,3.669430017,,
15766,Kendrick,Goodacre,Female,White,3.754662752,2.351500034,25,18
16080,Kendrick,Goodacre,Female,White,11.84559822,2.457999945,21,27
16301,Kendrick,Goodacre,Male,African-American,10.2745676,2.345165014,,
16582,Kendrick,Goodacre,Female,,40.75,2.599999905,24,22
16891,Kendrick,Goodacre,Male,White,3.749275208,2.473680019,15,16
16961,Kendrick,Goodacre,Female,White,4.732374191,3.254274845,20,18
17112,Kendrick,Goodacre,Male,African-American,9.760745049,2.25999999,13,21
17665,Kendrick,Goodacre,Male,White,2.857142925,3.434999943,19,22
17729,Kendrick,Goodacre,Female,White,3.46716404,3.796000004,22,25
17915,Kendrick,Goodacre,Male,White,1.325681448,2.325000048,15,22
17960,Kendrick,Goodacre,Female,White,0.598853886,3.966454983,34,33
18088,Kendrick,Goodacre,Male,White,5.125179768,2.082479954,13,17
18305,Kendrick,Goodacre,Female,White,9.205036163,2.483500004,29,16
18368,Kendrick,Goodacre,Male,White,20.81431389,2.33949995,,
18435,Kendrick,Goodacre,Male,White,2.209169149,4,26,24
18522,Kendrick,Goodacre,Male,White,8.723741531,3.540999889,17,14
18948,Kendrick,Goodacre,Male,White,2.037249088,2.963999987,20,18
19667,Kendrick,Goodacre,Female,White,13.3942852,2.479000092,21,19
19810,Kendrick,Goodacre,Male,African-American,2.752149105,2.777999878,25,23
19969,Kendrick,Goodacre,Male,White,7.581661701,1.821429968,,
20250,Kendrick,Goodacre,Male,White,18.78911591,0.657926679,,
20431,Kendrick,Goodacre,Female,White,0.598853886,3.890296698,28,31
20675,Kendrick,Goodacre,Male,White,3.903597355,3.619999886,31,29
20908,Kendrick,Goodacre,Male,White,8.702005386,1.718833327,16,16
20917,Kendrick,Goodacre,Male,White,3.593073606,2.932274818,11,18
21151,Kendrick,Goodacre,Female,White,9.155073166,1.821429968,18,18
21446,Kendrick,Goodacre,Male,White,20.44092178,3.394750118,21,23
21843,Kendrick,Goodacre,Male,White,1.647482038,1.733333349,13,16
21978,Kendrick,Goodacre,Male,White,4.482014179,2.850295067,19,18
22408,Kendrick,Goodacre,Female,White,16.57471275,2.221000195,,
22413,Kendrick,Goodacre,Male,White,0.957020104,3.434999943,19,26
23272,Kendrick,Goodacre,Female,White,12.58561134,2.198800087,16,16
23383,Kendrick,Goodacre,Female,White,9.183907509,3.923455,34,31
23391,Kendrick,Goodacre,Male,Hispanic,3.38596487,1.22214663,,
23616,Kendrick,Goodacre,Female,White,8.666666985,1.859687448,10,16
24199,Kendrick,Goodacre,Male,White,1.099280596,3.687999964,20,24
24320,Kendrick,Goodacre,Male,White,28.08571434,1.014882565,,
24549,Kendrick,Goodacre,Male,White,1.627293587,3.487070084,28,31
25247,Kendrick,Goodacre,Female,White,13.00143147,2.148000002,12,15
25552,Kendrick,Goodacre,Male,White,1.41833818,3.248129845,14,17
25641,Kendrick,Goodacre,Male,White,9.058823586,2.010089874,23,18
25832,Kendrick,Goodacre,Female,Asian/Pacific Islander,4.141631126,2.908154964,16,17
26277,Kendrick,Goodacre,Male,,10.3365202,1.554270029,15,15
26468,Kendrick,Goodacre,Male,White,12.39556313,1.570673347,,
26693,Kendrick,Goodacre,Female,White,2.370317221,3.486500025,26,25
26981,Kendrick,Goodacre,Male,African-American,22.41142845,0.179999992,,
27448,Kendrick,Goodacre,Female,White,13.21676254,3.862999916,22,22
27755,Kendrick,Goodacre,Female,White,1.209302306,3.799999952,19,23
27795,Kendrick,Goodacre,Male,White,3.801147461,2.545000076,18,20
27909,Kendrick,Goodacre,Female,White,4.625,3.239069939,27,18
28489,Kendrick,Goodacre,Female,White,5.332857609,3.854569912,16,17
28646,Kendrick,Goodacre,Male,White,0.283667624,1.937284946,15,18
28749,Kendrick,Goodacre,Female,White,3.754310131,2.835000038,25,18
29402,Kendrick,Goodacre,Male,African-American,19.28395081,1.340999961,19,19
29582,Kendrick,Goodacre,Female,White,11.10434723,2.78399992,,
29944,Kendrick,Goodacre,Male,African-American,5.673352242,2.693500042,15,18
30219,Kendrick,Goodacre,Female,White,8.308022499,2.951274872,22,20
30668,Kendrick,Goodacre,Female,White,14,2.3510499,22,21
30830,Kendrick,Goodacre,Female,White,6.343839169,3.631024837,24,20
31132,Kendrick,Goodacre,Female,African-American,16.10351563,2.154000044,11,16
31720,Kendrick,Goodacre,Female,White,13.93681335,2.25,15,14
31924,Kendrick,Goodacre,Male,White,20.43343353,2.290510178,,
32383,Kendrick,Goodacre,Female,White,24.3108387,2.384564877,18,18
32833,Kendrick,Goodacre,Male,White,16.92167664,1.587949991,,
32843,Kendrick,Goodacre,Male,White,1.156160474,3.161999941,21,18
32999,Kendrick,Goodacre,Female,African-American,9.857142448,2.669865131,22,16
33620,Kendrick,Goodacre,Female,Multiple/Native American,3.808888674,2.868999958,22,18
34767,Kendrick,Goodacre,Female,White,7.98064518,2.480000019,21,16
34878,Kendrick,Goodacre,Female,Multiple/Native American,11.7555151,1.833199978,19,15
35266,Kendrick,Goodacre,Female,African-American,5.146131516,3.976500034,24,17
35388,Kendrick,Goodacre,Male,White,24.80681801,1.264576674,,
35487,Kendrick,Goodacre,Male,White,12.90797615,1.332999945,,
35684,Kendrick,Goodacre,Male,White,13.72898579,3.388430119,,
36145,Kendrick,Goodacre,Male,White,3.043165445,3.444499969,27,19
36768,Kendrick,Goodacre,Male,White,10.2014389,3.98300004,33,33
36875,Kendrick,Goodacre,Female,African-American,8.347701073,,,
37024,Kendrick,Goodacre,Male,White,0.174785092,3.161000013,27,22
37323,Kendrick,Goodacre,Male,White,8.439023972,2.445499897,19,20
37376,Kendrick,Goodacre,Male,White,13.23021507,2.595000029,,
37403,Kendrick,Goodacre,Female,White,0.307913661,3.826294899,29,29
37436,Kendrick,Goodacre,Male,White,45.92307663,,,
37636,Kendrick,Goodacre,Female,White,5.501432896,2.362499952,23,16
37806,Kendrick,Goodacre,Female,White,2.224460363,1.660000086,,
37835,Kendrick,Goodacre,Female,White,4.571018696,2.349755049,,
37969,Kendrick,Goodacre,Female,White,9.100291252,3.388430119,15,21
38449,Kendrick,Goodacre,Female,White,22.64179039,2.139500141,,
38552,Kendrick,Goodacre,Female,African-American,7.713467121,1.917000055,17,17
38901,Kendrick,Goodacre,Female,White,7.440459251,2.390890121,,
39108,Kendrick,Goodacre,Male,Multiple/Native American,12.8920784,1.25,,
39212,Kendrick,Goodacre,Female,White,1.070503592,3.833294868,18,23
